PROFILE,CNN SIZE,top1,top3,top5,top10,top15,RANKING
10,ALL,3,3,5,4,6,
15,ALL,1,3,3,5,7,
20,ALL,2,3,4,5,8,
10,20,2,3,3,3,5,
15,20,1,4,4,4,6,
20,20,3,5,6,13,16,
10,50,2,2,2,4,4,
15,50,5,6,6,8,7,2
20,50,3,5,5,7,12,
10,100,1,2,2,3,3,
15,100,1,5,6,6,9,
20,100,7,10,10,13,14,1
10,150,1,1,1,2,3,
15,150,4,5,5,7,6,3
20,150,2,4,5,6,8,
10,200,1,2,3,4,4,
15,200,2,6,9,8,10,4
20,200,2,4,5,6,8,
