63490,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_RANDOM,0,0,0,0,0,1,0,0,1,19 Seconds (19809) ms
63490,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_TU,0,0,0,0,0,0,0,0,1,18 Seconds (18914) ms
63490,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_NONE,0,0,0,0,0,1,0,0,1,20 Seconds (20910) ms
88067,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_RANDOM,0,1,1,1,1,1,1,1,1,14 Seconds (14534) ms
88067,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_TU,0,1,1,1,1,1,1,1,1,40 Seconds (40548) ms
88067,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_NONE,0,1,1,1,1,1,1,1,1,15 Seconds (15826) ms
180225,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_RANDOM,0,0,0,0,0,0,1,1,1,9 Seconds (9876) ms
180225,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_TU,0,0,0,1,0,1,0,0,1,9 Seconds (9682) ms
180225,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_NONE,0,0,0,0,0,1,1,0,1,10 Seconds (10073) ms
161799,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_RANDOM,0,0,0,0,0,0,0,0,1,11 Seconds (11590) ms
161799,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_TU,0,0,0,0,0,0,0,0,1,39 Seconds (39245) ms
161799,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_NONE,0,0,0,0,1,0,0,1,1,30 Seconds (30043) ms
32776,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_RANDOM,0,0,0,1,1,1,1,1,1,12 Seconds (12500) ms
32776,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_TU,0,0,0,1,1,1,1,1,1,16 Seconds (16546) ms
32776,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_NONE,0,0,0,1,1,1,1,1,1,14 Seconds (14054) ms
67595,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_RANDOM,0,0,0,0,0,1,1,0,1,20 Seconds (20995) ms
67595,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_TU,0,0,0,0,1,1,0,1,0,15 Seconds (15828) ms
67595,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_NONE,0,0,0,0,0,0,0,1,1,37 Seconds (37415) ms
53260,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_RANDOM,0,0,0,0,0,1,1,0,1,10 Seconds (10615) ms
53260,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_TU,0,0,0,0,0,0,0,0,1,14 Seconds (14050) ms
53260,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_NONE,0,0,0,1,0,0,1,0,1,51 Seconds (51596) ms
69646,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_RANDOM,0,0,0,0,0,0,0,1,1,17 Seconds (17912) ms
69646,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_TU,0,0,0,0,0,0,0,1,1,24 Seconds (24089) ms
69646,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_NONE,0,0,0,0,0,0,0,1,1,12 Seconds (12136) ms
169997,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_RANDOM,1,1,1,1,1,1,1,1,1,15 Seconds (15167) ms
169997,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_TU,1,1,1,1,1,1,1,1,1,43 Seconds (43318) ms
169997,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_NONE,1,1,1,1,1,1,1,1,1,1 Minutes (17344) ms
30738,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_RANDOM,0,0,0,0,1,0,0,1,1,10 Seconds (10335) ms
30738,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_TU,0,0,0,0,1,0,1,0,1,10 Seconds (10291) ms
30738,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_NONE,0,0,0,0,0,0,0,0,1,9 Seconds (9389) ms
88083,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_RANDOM,0,0,0,0,1,0,1,0,1,11 Seconds (11064) ms
88083,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_TU,0,0,0,0,0,1,0,0,1,16 Seconds (16131) ms
88083,LDSD_LOD,20,100,CNN_REDUCTION_STRATEGY_NONE,0,0,0,0,0,1,0,1,1,52 Seconds (52825) ms
